"__mclCluster","AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","COMMON","Degree","degree.layout","Eccentricity","gal1RGexp","gal1RGsig","gal4RGexp","gal4RGsig","gal80Rexp","gal80Rsig","isExcludedFromPaths","IsSingleNode","MCODE_Cluster","MCODE_Node_Status","MCODE_Score","name","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","PartnerOfMultiEdgedNodePairs","Radiality","selected","SelfLoops","shared name","Stress","TopologicalCoefficient"
"1","7.342741935483871","0.00806451612903226","0.13618890719384955","0.0","CDC42","2","2","15","-0.074","0.066961","0.089","0.031442","-0.154","0.030339","false","false",,"Unclustered","0.6666666666666666","YLR229C","2.5","0","2","0","0.6476254480286738","false","0","YLR229C","750","0.5"
"1","8.338709677419354","0.0","0.11992263056092844","0.0","GIC2","1","1","16","-0.427","1.6598E-8","-0.129","0.032663","-0.798","1.2554E-13","false","false",,"Unclustered","0.0","YDR309C","2.0","0","1","0","0.5922939068100359","false","0","YDR309C","0","0.0"
"1","9.084677419354838","0.016063732532323367","0.11007545494895696","0.0","YOR264W","2","2","19","0.493","1.939E-8","0.237","0.016862","0.307","0.011809","false","false",,"Unclustered","0.6666666666666666","YOR264W","2.0","0","2","0","0.5508512544802868","false","0","YOR264W","2060","0.5"
"1","8.762096774193548","0.008064516129032258","0.11412793373216751","0.0","MSL5","2","2","17","0.015","0.74865","-0.03","0.60558","0.101","0.35769","false","false",,"Unclustered","0.6666666666666666","YLR116W","2.0","0","2","0","0.5687724014336918","false","0","YLR116W","1044","0.5"
"1","9.78225806451613","0.004015933133080842","0.10222588623248144","0.0","RFA2","2","2","18","0.028","0.47284","-0.111","0.034589","-0.121","0.24786","false","false",,"Unclustered","0.6666666666666666","YNL312W","2.5","0","2","0","0.5120967741935484","false","0","YNL312W","1030","0.75"
"1","10.77016129032258","1.6324931435287973E-5","0.09284912017970798","0.0","RAD52","2","2","19","0.199","3.3893E-4","-0.136","0.033332","0.363","0.0030735","false","false",,"Unclustered","0.6666666666666666","YML032C","2.0","0","2","0","0.45721326164874554","false","0","YML032C","2","1.0"
"1","7.774193548387097","0.03199686561316442","0.12863070539419086","0.0","PRP40","3","3","16","0.21","4.2719E-4","-0.277","3.5398E-4","0.561","8.7173E-5","false","false",,"Unclustered","0.5","YKL012W","2.0","0","3","0","0.6236559139784946","false","0","YKL012W","4160","0.3333333333333333"
"1","8.762096774193548","0.008064516129032258","0.11412793373216751","0.0","SIN4","2","2","17","-0.146","0.018347","-0.218","0.053936","-0.141","0.39009","false","false",,"Unclustered","0.6666666666666666","YNL236W","2.0","0","2","0","0.5687724014336918","false","0","YNL236W","1044","0.5"
"1","7.471774193548387","0.04365489979960407","0.1338370210469509","0.0","YNL091W","3","3","18","0.288","1.9735E-6","0.154","0.026384","0.723","2.3704E-4","false","false",,"Unclustered","0.5","YNL091W","2.6666666666666665","0","3","0","0.6404569892473118","false","0","YNL091W","5154","0.3333333333333333"
"1","7.120967741935484","0.07028774629662708","0.14043035107587767","0.0","ATC1","2","2","17","0.04","0.4641","-0.886","9.3996E-7","0.404","0.10407","false","false",,"Unclustered","0.6666666666666666","YDR184C","3.5","0","2","0","0.6599462365591398","false","0","YDR184C","6204","0.5"
"1","7.766129032258065","0.016063732532323367","0.12876427829698858","0.0","SSL2","2","2","18","0.124","0.019613","0.069","0.36733","0.264","0.045357","false","false",,"Unclustered","0.6666666666666666","YIL143C","3.5","0","2","0","0.6241039426523298","false","0","YIL143C","1220","0.5"
"1","6.463709677419355","0.10314676562391069","0.15470991890205862","0.0","BAS1","3","3","16","0.466","6.1231E-6","-0.936","7.6476E-6","1.101","6.9896E-4","false","false",,"Unclustered","0.5","YKR099W","3.6666666666666665","0","3","0","0.6964605734767024","false","0","YKR099W","12284","0.3333333333333333"
"1","6.786290322580645","0.12134232490768984","0.1473559120617944","0.0","MSL1","5","5","17","-0.044","0.74397","-0.337","0.19987","-0.049","0.89526","false","false",,"Unclustered","0.3333333333333333","YIR009W","2.2","0","5","0","0.6785394265232976","false","0","YIR009W","12160","0.2"
"1","7.629032258064516","0.0","0.13107822410147993","1.0","GAL7","2","2","16","0.153","7.8855E-4","-1.995","3.6284E-11","3.126","3.9427E-17","false","false",,"Unclustered","2.0","YBR018C","7.5","0","2","0","0.6317204301075269","false","0","YBR018C","0","0.75"
"1","6.637096774193548","0.05907389158662482","0.15066828675577157","0.17777777777777778","GAL4","11","11","15","0.1","0.11614","-0.758","1.264E-4","-0.211","0.088214","false","false",,"Unclustered","2.4000000000000004","YPL248C","3.9","0","11","1","0.6868279569892474","false","0","YPL248C","10716","0.19473684210526315"
"1","7.629032258064516","0.0","0.13107822410147993","1.0","GAL2","2","2","16","0.176","2.4597E-4","-0.57","1.6652E-7","0.892","7.3429E-10","false","false",,"Unclustered","2.0","YLR081W","7.5","0","2","0","0.6317204301075269","false","0","YLR081W","0","0.75"
"1","6.794354838709677","0.004325315318524142","0.14718100890207717","0.5","GAL1","4","4","15","-2.426","7.0101E-9","-2.406","2.5038E-9","2.939","2.8147E-18","false","false",,"Unclustered","1.4","YBR020W","7.25","0","4","0","0.6780913978494625","false","0","YBR020W","1638","0.4264705882352941"
"1","5.854838709677419","0.40813643896770485","0.17079889807162535","0.05454545454545454","MIG1","11","11","14","0.345","1.102E-7","0.31","1.7172E-6","-0.28","0.0070533","false","false",,"Unclustered","1.4","YGL035C","3.3636363636363638","0","11","0","0.7302867383512545","false","0","YGL035C","92790","0.14354066985645933"
"1","7.616935483870968","9.250794479996518E-5","0.131286394917946","0.4","GAL11","5","5","16","0.171","0.001834","0.055","0.33923","0.111","0.30922","false","false",,"Unclustered","1.2","YOL051W","4.2","0","5","0","0.6323924731182795","false","0","YOL051W","12","0.42"
"1","6.798387096774194","0.002154495193544422","0.14709371293001186","0.6666666666666666","GAL10","3","3","15","0.061","0.098603","-1.993","3.3164E-11","2.856","3.9398E-18","false","false",,"Unclustered","1.6666666666666667","YBR019C","8.666666666666666","0","3","0","0.6778673835125448","false","0","YBR019C","818","0.5098039215686274"
"1","7.915322580645161","0.00806451612903226","0.12633723892002038","0.0","CBF1","2","2","18","0.165","0.0013953","-0.306","0.0034755","0.103","0.43529","false","false",,"Unclustered","0.6666666666666666","YJR060W","2.0","0","2","0","0.61581541218638","false","0","YJR060W","614","0.5"
"1","7.838709677419355","0.0","0.12757201646090535","1.0","STE5","2","2","16","-0.068","0.34875","-0.121","0.42858","0.023","0.92304","false","false","Cluster 5","Clustered","2.0","YDR103W","6.5","0","2","0","0.6200716845878136","false","0","YDR103W","0","0.5909090909090909"
"1","6.862903225806452","0.22363877796488502","0.14571092831962396","0.027777777777777776","STE11","9","9","15","0.144","0.023963","0.037","0.50139","0.374","0.0010869","false","false","Cluster 5","Clustered","2.0","YLR362W","2.2222222222222223","0","9","0","0.6742831541218638","false","0","YLR362W","21270","0.14444444444444443"
"1","8.818548387096774","0.0","0.1133973479652492","0.0","YDR032C","1","1","17","0.113","0.026191","0.331","2.0333E-6","-0.211","7.1391E-4","false","false",,"Unclustered","0.0","YDR032C","4.0","0","1","0","0.5656362007168458","false","0","YDR032C","0","0.0"
"1","7.82258064516129","0.03196421575029385","0.12783505154639177","0.16666666666666666","STE50","4","4","16","0.126","0.003766","0.02","0.71364","0.284","0.015244","false","false","Cluster 5","Seed","2.0","YCL032W","3.75","0","4","0","0.6209677419354839","false","0","YCL032W","2454","0.29545454545454547"
"1","14.080645161290322","0.0","0.07101947308132875","0.0","AHP1","1","1","27","-0.603","1.4814E-9","0.466","2.5668E-4","-0.486","2.3432E-11","false","false",,"Unclustered","0.0","YLR109W","3.0","0","1","0","0.2732974910394266","false","0","YLR109W","0","0.0"
"1","14.080645161290322","0.0","0.07101947308132875","0.0","RPL42B","1","1","27","-0.359","7.7434E-7","-0.371","2.5233E-6","-0.139","0.012998","false","false",,"Unclustered","0.0","YHR141C","3.0","0","1","0","0.2732974910394266","false","0","YHR141C","0","0.0"
"1","13.084677419354838","0.016096382395193943","0.07642526964560863","0.0","CIN4","3","3","26","0.414","0.037256","-0.0","0.39944","0.221","0.12805","false","false",,"Unclustered","0.5","YMR138W","1.3333333333333333","0","3","0","0.32862903225806456","false","0","YMR138W","5442","0.3333333333333333"
"1","8.616935483870968","0.0","0.11605053813757604","0.0","ADE4","1","1","19","-0.514","1.522E-9","-1.296","1.4734E-8","1.202","4.7716E-11","false","false",,"Unclustered","0.0","YMR300C","7.0","0","1","0","0.576836917562724","false","0","YMR300C","0","0.0"
"1","7.870967741935484","0.026152372724137125","0.12704918032786885","0.0","ARG1","2","2","17","-0.652","4.9342E-6","-0.541","4.0958E-7","-0.815","5.9432E-10","false","false",,"Unclustered","0.6666666666666666","YOL058W","6.0","0","2","0","0.6182795698924731","false","0","YOL058W","6768","0.5"
"1","8.616935483870968","0.0","0.11605053813757604","0.0","HIS7","1","1","19","-0.258","2.3151E-6","-1.252","1.6549E-7","0.898","3.3047E-5","false","false",,"Unclustered","0.0","YBR248C","7.0","0","1","0","0.576836917562724","false","0","YBR248C","0","0.0"
"1","7.782258064516129","0.006126244462080951","0.12849740932642487","0.0","HIS3","2","2","17","-0.432","0.010979","-0.71","1.7979E-4","0.239","0.0054895","false","false",,"Unclustered","0.6666666666666666","YOR202W","4.5","0","2","0","0.6232078853046595","false","0","YOR202W","1810","0.5"
"1","8.616935483870968","0.0","0.11605053813757604","0.0","ILV2","1","1","19","0.04","0.27002","-0.358","9.4314E-4","0.095","0.14717","false","false",,"Unclustered","0.0","YMR108W","7.0","0","1","0","0.576836917562724","false","0","YMR108W","0","0.0"
"1","7.620967741935484","0.06299560817485594","0.1312169312169312","0.0","GCN4","7","7","18","0.035","0.33125","0.032","0.41727","-0.031","0.55639","false","false",,"Unclustered","0.25","YEL009C","1.5714285714285714","0","7","0","0.632168458781362","false","0","YEL009C","14390","0.14285714285714285"
"1","8.540322580645162","6.04022463105655E-4","0.11709159584513691","0.0","CNS1","2","2","17","0.082","0.10014","-0.479","1.5959E-5","0.519","3.7064E-4","false","false",,"Unclustered","0.6666666666666666","YBR155W","2.5","0","2","0","0.5810931899641577","false","0","YBR155W","82","0.75"
"1","7.850806451612903","0.0033955857385398985","0.12737544940934772","0.0","HSC82","2","2","16","-0.032","0.52469","-0.032","0.4995","-0.608","1.6833E-14","false","false",,"Unclustered","0.6666666666666666","YMR186W","5.5","0","2","0","0.6193996415770608","false","0","YMR186W","530","0.5625"
"5","2.25","0.0","0.4444444444444444","0.0","MLC1","1","1","3","-0.262","1.3141E-5","-0.327","9.2389E-6","-0.059","0.29618","false","false",,"Unclustered","0.0","YGL106W","2.0","0","1","0","0.5833333333333334","false","0","YGL106W","0","0.0"
"5","1.5","0.5","0.6666666666666666","0.0","MYO2","2","2","2","0.51","5.9183E-9","0.432","8.2407E-8","0.296","1.1583E-4","false","false",,"Unclustered","0.6666666666666666","YOR326W","2.0","0","2","0","0.8333333333333334","false","0","YOR326W","6","0.5"
